9600
(-10.000000, -10.000000, -0.295050) (-0.295050, -0.295050, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -10.000000, -0.763920) (-0.763920, -0.763920, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -9.500000, -0.453151) (-0.453151, -0.453151, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -9.500000, -0.453151) (-0.453151, -0.453151, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -10.000000, -0.763920) (-0.763920, -0.763920, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -9.500000, -0.922021) (-0.922021, -0.922021, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -9.500000, -0.453151) (-0.453151, -0.453151, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -9.500000, -0.922021) (-0.922021, -0.922021, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -9.000000, -0.367109) (-0.367109, -0.367109, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -9.000000, -0.367109) (-0.367109, -0.367109, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -9.500000, -0.922021) (-0.922021, -0.922021, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -9.000000, -0.835979) (-0.835979, -0.835979, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -9.000000, -0.367109) (-0.367109, -0.367109, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -9.000000, -0.835979) (-0.835979, -0.835979, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -8.500000, -0.057991) (-0.057991, -0.057991, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -8.500000, -0.057991) (-0.057991, -0.057991, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -9.000000, -0.835979) (-0.835979, -0.835979, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -8.500000, -0.526861) (-0.526861, -0.526861, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -8.500000, -0.057991) (-0.057991, -0.057991, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -8.500000, -0.526861) (-0.526861, -0.526861, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -8.000000, 0.398521) (0.398521, 0.398521, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -8.000000, 0.398521) (0.398521, 0.398521, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -8.500000, -0.526861) (-0.526861, -0.526861, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -8.000000, -0.070349) (-0.070349, -0.070349, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -8.000000, 0.398521) (0.398521, 0.398521, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -8.000000, -0.070349) (-0.070349, -0.070349, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -7.500000, 0.890656) (0.890656, 0.890656, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -7.500000, 0.890656) (0.890656, 0.890656, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -8.000000, -0.070349) (-0.070349, -0.070349, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -7.500000, 0.421786) (0.421786, 0.421786, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -7.500000, 0.890656) (0.890656, 0.890656, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -7.500000, 0.421786) (0.421786, 0.421786, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -7.000000, 1.297923) (1.297923, 1.297923, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -7.000000, 1.297923) (1.297923, 1.297923, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -7.500000, 0.421786) (0.421786, 0.421786, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -7.000000, 0.829053) (0.829053, 0.829053, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -7.000000, 1.297923) (1.297923, 1.297923, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -7.000000, 0.829053) (0.829053, 0.829053, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -6.500000, 1.520609) (1.520609, 1.520609, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -6.500000, 1.520609) (1.520609, 1.520609, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -7.000000, 0.829053) (0.829053, 0.829053, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -6.500000, 1.051739) (1.051739, 1.051739, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -6.500000, 1.520609) (1.520609, 1.520609, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -6.500000, 1.051739) (1.051739, 1.051739, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -6.000000, 1.504191) (1.504191, 1.504191, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -6.000000, 1.504191) (1.504191, 1.504191, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -6.500000, 1.051739) (1.051739, 1.051739, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -6.000000, 1.035321) (1.035321, 1.035321, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -6.000000, 1.504191) (1.504191, 1.504191, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -6.000000, 1.035321) (1.035321, 1.035321, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -5.500000, 1.252691) (1.252691, 1.252691, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -5.500000, 1.252691) (1.252691, 1.252691, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -6.000000, 1.035321) (1.035321, 1.035321, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -5.500000, 0.783821) (0.783821, 0.783821, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -5.500000, 1.252691) (1.252691, 1.252691, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -5.500000, 0.783821) (0.783821, 0.783821, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -5.000000, 0.827683) (0.827683, 0.827683, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -5.000000, 0.827683) (0.827683, 0.827683, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -5.500000, 0.783821) (0.783821, 0.783821, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -5.000000, 0.358813) (0.358813, 0.358813, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -5.000000, 0.827683) (0.827683, 0.827683, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -5.000000, 0.358813) (0.358813, 0.358813, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -4.500000, 0.333225) (0.333225, 0.333225, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -4.500000, 0.333225) (0.333225, 0.333225, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -5.000000, 0.358813) (0.358813, 0.358813, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -4.500000, -0.135645) (-0.135645, -0.135645, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -4.500000, 0.333225) (0.333225, 0.333225, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -4.500000, -0.135645) (-0.135645, -0.135645, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -4.000000, -0.109622) (-0.109622, -0.109622, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -4.000000, -0.109622) (-0.109622, -0.109622, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -4.500000, -0.135645) (-0.135645, -0.135645, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -4.000000, -0.578492) (-0.578492, -0.578492, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -4.000000, -0.109622) (-0.109622, -0.109622, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -4.000000, -0.578492) (-0.578492, -0.578492, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -3.500000, -0.392436) (-0.392436, -0.392436, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -3.500000, -0.392436) (-0.392436, -0.392436, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -4.000000, -0.578492) (-0.578492, -0.578492, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -3.500000, -0.861306) (-0.861306, -0.861306, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -3.500000, -0.392436) (-0.392436, -0.392436, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -3.500000, -0.861306) (-0.861306, -0.861306, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -3.000000, -0.445971) (-0.445971, -0.445971, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -3.000000, -0.445971) (-0.445971, -0.445971, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -3.500000, -0.861306) (-0.861306, -0.861306, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -3.000000, -0.914841) (-0.914841, -0.914841, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -3.000000, -0.445971) (-0.445971, -0.445971, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -3.000000, -0.914841) (-0.914841, -0.914841, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -2.500000, -0.257122) (-0.257122, -0.257122, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -2.500000, -0.257122) (-0.257122, -0.257122, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -3.000000, -0.914841) (-0.914841, -0.914841, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -2.500000, -0.725992) (-0.725992, -0.725992, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -2.500000, -0.257122) (-0.257122, -0.257122, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -2.500000, -0.725992) (-0.725992, -0.725992, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -2.000000, 0.127874) (0.127874, 0.127874, 1.000000) (0.000000, -107374176.000000) 
